theta_deg	R
0.001	9.9985254E-001
0.002	9.9978685E-001
0.003	9.9969244E-001
0.004	9.9956006E-001
0.005	9.9938029E-001
0.006	9.9914443E-001
0.007	9.9884427E-001
0.008	9.9847603E-001
0.009	9.9803978E-001
0.01	9.9754071E-001
0.011	9.9698991E-001
0.012	9.9640208E-001
0.013	9.9579525E-001
0.014	9.9518758E-001
0.015	9.9459559E-001
0.016	9.9403143E-001
0.017	9.9350268E-001
0.018	9.9301100E-001
0.019	9.9255365E-001
0.02	9.9212480E-001
0.021	9.9171656E-001
0.022	9.9132150E-001
0.023	9.9093312E-001
0.024	9.9054706E-001
0.025	9.9016082E-001
0.026	9.8977309E-001
0.027	9.8938382E-001
0.028	9.8899364E-001
0.029	9.8860234E-001
0.03	9.8821044E-001
0.031	9.8781717E-001
0.032	9.8742259E-001
0.033	9.8702580E-001
0.034	9.8662615E-001
0.035	9.8622370E-001
0.036	9.8581856E-001
0.037	9.8541117E-001
0.038	9.8500240E-001
0.039	9.8459339E-001
0.04	9.8418528E-001
0.041	9.8377889E-001
0.042	9.8337471E-001
0.043	9.8297334E-001
0.044	9.8257422E-001
0.045	9.8217690E-001
0.046	9.8178005E-001
0.047	9.8138314E-001
0.048	9.8098493E-001
0.049	9.8058426E-001
0.05	9.8018056E-001
0.051	9.7977382E-001
0.052	9.7936368E-001
0.053	9.7895056E-001
0.054	9.7853470E-001
0.055	9.7811747E-001
0.056	9.7769952E-001
0.057	9.7728151E-001
0.058	9.7686404E-001
0.059	9.7644764E-001
0.06	9.7603196E-001
0.061	9.7561634E-001
0.062	9.7519988E-001
0.063	9.7478163E-001
0.064	9.7436041E-001
0.065	9.7393560E-001
0.066	9.7350687E-001
0.067	9.7307444E-001
0.068	9.7263879E-001
0.069	9.7220075E-001
0.07	9.7176093E-001
0.071	9.7131979E-001
0.072	9.7087806E-001
0.073	9.7043628E-001
0.074	9.6999454E-001
0.075	9.6955264E-001
0.076	9.6911013E-001
0.077	9.6866751E-001
0.078	9.6822393E-001
0.079	9.6777892E-001
0.08	9.6733183E-001
0.081	9.6688211E-001
0.082	9.6642941E-001
0.083	9.6597230E-001
0.084	9.6551037E-001
0.085	9.6504325E-001
0.086	9.6457034E-001
0.087	9.6409214E-001
0.088	9.6360862E-001
0.089	9.6312070E-001
0.09	9.6262896E-001
0.091	9.6213460E-001
0.092	9.6163857E-001
0.093	9.6114141E-001
0.094	9.6064413E-001
0.095	9.6014756E-001
0.096	9.5965171E-001
0.097	9.5915681E-001
0.098	9.5866293E-001
0.099	9.5817006E-001
0.1	9.5767772E-001
0.101	9.5718545E-001
0.102	9.5669228E-001
0.103	9.5619786E-001
0.104	9.5570076E-001
0.105	9.5520008E-001
0.106	9.5469469E-001
0.107	9.5418411E-001
0.108	9.5366716E-001
0.109	9.5314360E-001
0.11	9.5261341E-001
0.111	9.5207638E-001
0.112	9.5153308E-001
0.113	9.5098388E-001
0.114	9.5042908E-001
0.115	9.4986910E-001
0.116	9.4930398E-001
0.117	9.4873405E-001
0.118	9.4815880E-001
0.119	9.4757742E-001
0.12	9.4698936E-001
0.121	9.4639301E-001
0.122	9.4578660E-001
0.123	9.4516742E-001
0.124	9.4453174E-001
0.125	9.4387543E-001
0.126	9.4319266E-001
0.127	9.4247782E-001
0.128	9.4172454E-001
0.129	9.4092840E-001
0.13	9.4008726E-001
0.131	9.3920273E-001
0.132	9.3828171E-001
0.133	9.3733722E-001
0.134	9.3638682E-001
0.135	9.3545175E-001
0.136	9.3455547E-001
0.137	9.3371850E-001
0.138	9.3295771E-001
0.139	9.3228173E-001
0.14	9.3169230E-001
0.141	9.3118221E-001
0.142	9.3073773E-001
0.143	9.3033999E-001
0.144	9.2996901E-001
0.145	9.2960382E-001
0.146	9.2922682E-001
0.147	9.2882222E-001
0.148	9.2837834E-001
0.149	9.2788702E-001
0.15	9.2734289E-001
0.151	9.2674345E-001
0.152	9.2608881E-001
0.153	9.2538089E-001
0.154	9.2462319E-001
0.155	9.2382091E-001
0.156	9.2297947E-001
0.157	9.2210531E-001
0.158	9.2120433E-001
0.159	9.2028278E-001
0.16	9.1934526E-001
0.161	9.1839570E-001
0.162	9.1743755E-001
0.163	9.1647202E-001
0.164	9.1550022E-001
0.165	9.1452283E-001
0.166	9.1353929E-001
0.167	9.1254914E-001
0.168	9.1155088E-001
0.169	9.1054368E-001
0.17	9.0952545E-001
0.171	9.0849471E-001
0.172	9.0744984E-001
0.173	9.0638977E-001
0.174	9.0531361E-001
0.175	9.0422165E-001
0.176	9.0311414E-001
0.177	9.0199244E-001
0.178	9.0085858E-001
0.179	8.9971328E-001
0.18	8.9855760E-001
0.181	8.9739126E-001
0.182	8.9621294E-001
0.183	8.9501935E-001
0.184	8.9380682E-001
0.185	8.9256960E-001
0.186	8.9130145E-001
0.187	8.8999450E-001
0.188	8.8863981E-001
0.189	8.8722658E-001
0.19	8.8574058E-001
0.191	8.8416409E-001
0.192	8.8247448E-001
0.193	8.8064581E-001
0.194	8.7864882E-001
0.195	8.7645465E-001
